EventID,Category
333,Speech
333,Justice
333,Law
334,Law
334,Instruction
334,Speech
335,Guidance
336,Promise
337,Instruction
338,Instruction
339,Promise
340,Defeat
340,Judgment
341,Protection
342,Protection
343,Victory
344,Instruction
345,Victory
346,Hardening
347,Victory
348,Encouragement
349,Judgment
350,Death
350,Judgment
351,Theophany
352,Prophecy
352,Warning
353,Promise
353,Prophecy
354,Election
355,Law
356,Theophany
356,Fire
356,Cloud
357,Inscription
358,Command
359,Warning
360,Warning
361,Promise
362,Election
363,Promise
363,Covenant
364,Promise
364,Warfare
365,Provision
366,Promise
367,Warning
368,Warfare
368,Promise
369,Judgment
369,Wrath
370,Command
370,Inscription
371,Appointment
372,Requirement
373,Covenant
373,Promise
374,Warning
374,Judgment
375,Expansion
375,Promise
376,Covenant
377,Command
377,Worship
378,Law
378,Slaughter
379,Law
379,False Idols
380,Law
380,Mourning
381,Purity
381,Law
382,Law
382,Tithe
383,Ownership
383,Law
384,Consecration
384,Law
385,Worship
385,Institution
386,Justice
386,Law
387,Law
387,False Idols
388,Justice
388,Law
389,Law
389,Government
390,Priesthood
390,Appointment
391,False Idols
391,Law
392,Prophecy
392,Promise
393,Command
393,Protection
394,Justice
394,Law
395,Law
395,Warfare
396,Promise
396,Warfare
397,Civil
397,Law
398,Law
398,Tithe
399,Law
399,Tithe
400,Covenant
401,Law
401,Writing
402,Curses
402,Covenant
403,Covenant
403,Blessings
404,Covenant
404,Curses
405,Provision
406,Covenant
407,Promise
407,Restoration
408,Covenant
408,Choice
409,Revelation
409,Prophecy
410,Theophany
410,Cloud
411,Prophecy
412,Writing
412,Command
413,Commissioning
414,Song
414,Prophecy
415,Command
416,Blessing
416,Prophecy
417,Fulfillment
417,Vision
418,Burial
419,Preservation
420,Commissioning
420,Speech
421,Encouragement
421,Promise
422,Encouragement
422,Command
422,Speech
423,Promise
423,Instruction
424,Protection
425,Protection
425,Providence
426,Deliverance
426,Providence
427,Instruction
427,Speech
427,Command
428,Exaltation
428,Promise
429,Command
429,Instruction
429,Speech
430,Parting Waters
431,Provision
432,Memorial
432,Command
432,Speech
433,Restoration
434,Exaltation
434,Recognition
435,Covenant
435,Speech
435,Command
436,Speech
436,Declaration
437,Provision
437,Cessation
438,Theophany
438,Appearance
440,Instruction
440,Strategy
441,Destruction
442,Mercy
442,Protection
443,Speech
443,Prophetic Curse
444,Judgment
445,Defeat
445,Judgment
447,Speech
447,Revelation
448,Revelation
448,Identification
450,Judgment
450,Execution
451,Speech
451,Encouragement
452,Strategy
452,Instruction
453,Victory
453,Deliverance
454,Signal
454,Command
455,Judgment
455,Destruction
459,Cosmic Intervention
460,Intervention
460,Warfare
461,Warfare
461,Hailstones
462,Destruction
465,Deliverance
465,Victory
466,Conquest
466,Victory
468,Speech
468,Encouragement
469,Promise
469,Warfare
470,Victory
470,Deliverance
471,Speech
471,Destruction
471,Command
472,Judgment
472,Hardening
473,Fulfillment
473,Peace
474,Instruction
474,Speech
474,Command
475,Speech
475,Revelation
476,Reward
476,Promise
477,Preservation
478,Rest
478,Peace
479,Mercy
479,Institution
480,Provision
480,Fulfillment
481,Fulfillment
481,Promise
482,Fulfillment
482,Peace
483,Fulfillment
483,Faithfulness
487,Peace
487,Providence
489,Testimony
489,Faithfulness
490,Warning
490,Prophecy
492,Warfare
492,Miraculous Intervention
493,Renewal
493,Covenant
494,Speech
494,Answer
494,Guidance
495,Theophany
496,Rebuke
496,Judgment
496,Speech
497,Defeat
497,Judgment
498,Appointment
498,Deliverance
499,Presence
499,Deliverance
500,Anger
500,Judgment
500,Speech
501,Judgment
501,Discipline
501,Testing
502,Judgment
502,Oppression
503,Deliverance
503,Judge
504,Spirit
504,Empowerment
505,Warfare
505,Victory
505,Judgment
506,Victory
506,Deliverance
507,Peace
507,Blessing
508,Judgment
508,Strengthening Enemies
509,Judge
509,Deliverance
510,Assassination
510,Deliverance
511,Victory
511,Warfare
512,Peace
512,Blessing
513,Strength
513,Deliverance
513,Victory
514,Judgment
514,Oppression
515,Appointment
515,Judge
516,Warfare
516,Speech
516,Command
517,Promise
517,Victory
518,Warfare
518,Confusion
519,Victory
519,Deliverance
520,Fulfillment
520,Victory
521,Warfare
521,Victory
522,Warfare
522,Cosmic
523,Warfare
523,Water
523,Victory
524,Praise
524,Thanksgiving
525,Peace
525,Blessing
526,Judgment
526,Oppression
527,Impoverishment
527,Judgment
528,Speech
528,Rebuke
529,History
529,Reminder
530,Theophany
531,Recognition
531,Speech
532,Speech
532,Promise
532,Presence
533,Speech
533,Instruction
534,Promise
534,Presence
534,Assurance
535,Speech
535,Command
536,Speech
536,Command
537,Fire
537,Theophany
538,Departure
538,Theophany
539,Speech
539,Reassurance
539,Peace
540,Speech
540,Instruction
541,Empowerment
541,Spirit
542,Empowerment
542,Trumpet
542,Spirit
543,Sign
543,Water
543,Answered Prayer
544,Answered Prayer
544,Water
544,Sign
545,Strategy
545,Speech
545,Instruction
546,Humility
546,Strategy
547,Strategy
547,Instruction
547,Speech
548,Strategy
548,Test
549,Promise
549,Victory
550,Instruction
550,Speech
551,Encouragement
551,Speech
551,Sign
552,Dream
552,Prophecy
553,Confusion
553,Warfare
554,Fulfilment
554,Pursuit
554,Victory
555,Peace
555,Blessing
556,Death
556,Judgment
557,Judgment
557,Discord
558,Death
558,Judgment
559,Judge
559,Deliverance
560,Judge
560,Appointment
561,Judgment
561,Oppression
562,Oppression
562,Judgment
563,Judgment
563,Rebuke
563,Speech
564,Compassion
564,Relenting
565,Spirit
565,Empowerment
566,Victory
566,Deliverance
566,Warfare
567,Judgment
567,Oppression
568,Theophany
569,Speech
569,Annunciation
569,Prophecy
570,Speech
570,Instruction
570,Consecration
571,Speech
571,Promise
571,Deliverance
572,Theophany
572,Prayer
572,Response
573,Instruction
573,Confirmation
573,Speech
574,Speech
574,Praise
575,Fire
575,Departure
576,Fulfillment
576,Birth
577,Growth
577,Blessing
578,Empowerment
578,Spirit
579,Guidance
580,Strength
580,Empowerment
581,Victory
581,Strength
582,Provision
583,Empowerment
583,Strength
584,Strength
584,Victory
585,Empowerment
585,Strength
586,Deliverance
587,Strength
587,Victory
588,Water
588,Provision
589,Strength
590,Withdrawal
590,Consequence
591,Restoration
591,Preparation
592,Strength
592,Empowerment
593,Death
593,Destruction
593,Victory
594,Instruction
594,Speech
594,Strategy
595,Testing
595,Judgment
596,Strategy
596,Instruction
596,Speech
597,Testing
597,Judgment
598,Victory
598,Promise
599,Victory
599,Judgment
600,Judgment
600,Famine
601,Providence
601,Death
602,Provision
602,Restoration
603,Provision
603,Mercy
604,Providence
604,Timing
605,Providence
605,Guidance
606,Protection
606,Safety
607,Abundance
607,Provision
608,Providence
608,Revelation
609,Opportunity
609,Timing
610,Kindness
610,Favor
611,Providence
611,Redemption
612,Marriage
612,Providence
613,Fertility
614,Prophecy
614,Fame
615,Restoration
615,Recognition
616,Lineage
616,Messianic Preparation
617,Judgment
617,Fertility
618,Answered Prayer
618,Hearing
619,Fertility 
620,Blessing
620,Growth
621,Prophecy
621,Judgment
622,Calling
622,Speech
623,Revelation
623,Prophecy
624,Appointment
624,Recognition
625,Theophany
626,Defeat
626,Judgment
627,Judgment
627,Timing
628,Judgment
628,Timing
629,Judgment
629,Departure
630,Supremacy
631,Destruction
631,Judgment
631,Plague
632,Judgment
632,Plague
633,Judgment
633,Plague
634,Holiness
634,Judgment
635,Blessing
635,Presence
636,Instruction
636,Repentance
636,Speech
637,Thundering
637,Warfare
638,Victory
638,Confusion
639,Restoration
639,Victory
640,Speech
640,Judgment
641,Prophecy
641,Revelation
641,Speech
642,Revelation
642,Speech
642,Prophecy
643,Speech
643,Prophecy
643,Revelation
644,Speech
644,Meeting
644,Guidance
645,Appointment
645,Anointing
646,Signs
646,Confirmation
647,Transformation
647,Heart Change
648,Transformation
648,Empowerment
649,Prophecy
649,Empowerment
650,Speech
650,Judgment
651,Revelation
651,Selection
652,Location
652,Speech
652,Revelation
653,Anger
653,Holy Spirit
654,Judgment
654,Speech
654,Witness
655,Thunder
655,Rain
655,Sign
656,Anointing
656,Judgment
657,Judgment
657,Revelation
657,Prayer
658,Speech
658,Destruction
658,Judgment
658,Death
659,Speech
659,Sorrow
659,Judgment
660,Judgment
660,Disobedience
661,Disowning
661,Judgment
661,Rejection
661,Disobedience
662,Disowning
662,Judgment
662,Disempowerment
663,Spiritual Affliction
663,Judgment
664,Speech
664,Guidance
664,Instruction
665,Rejection
665,Discernment
666,Selection
666,Choice
666,Anointing
667,Empowerment
667,Anointing
668,Disempowerment
668,Disowning
668,Judgment
669,Deliverance
669,Music
670,Victory
670,Deliverance
671,Presence
671,Blessing
671,Victory
672,Anger
672,Oppression
673,Deliverance
673,Protection
674,Blessing
674,Victory
674,Presence
675,Anger
675,Oppression
676,Protection
676,Deliverance
677,Empowerment
677,Prophecy
678,Speech
678,Guidance
679,Warning
679,Revelation
680,Concealment
680,Protection
681,Deliverance
682,Restraint
682,Mercy
683,Recognition
683,Conviction
684,Judgment
684,Death
685,Providence
685,Provision
686,Restraint
686,Mercy
687,Sleep
687,Intervention
688,Apparition
688,Judgment
688,Prophecy
689,Judgment
689,Death
689,Prophecy
690,Promise
690,Assurance
691,Fulfilment
691,Recovery
691,Victory
692,Fulfilment
692,Judgment
