personLookup,dictText
abel_13,"(Heb. Hebhel), a breath, or vanity, the second son of Adam and Eve. He was put to death by his brother Cain ([Gen. 4:1-16](/gen#Gen.4.1)). Guided by the instruction of their father, the two brothers were trained in the duty of worshipping God. “And in process of time” (marg. “at the end of days”, i.e., on the Sabbath) each of them offered up to God of the first-fruits of his labours. Cain, as a husbandman, offered the fruits of the field; Abel, as a shepherd, of the firstlings of his flock. “The Lord had respect unto Abel and his offering; but unto Cain and his offering he had not respect” ([Gen. 4:3-5](/gen#Gen.4.3)). On this account Cain was angry with his brother, and formed the design of putting him to death; a design which he at length found an opportunity of carrying into effect ([Gen. 4:8](/gen#Gen.4.8), [9](/gen#Gen.4.9). Comp. [1 John 3:12](/1john#1John.3.12)). There are several references to Abel in the New Testament. Our Saviour speaks of him as “righteous” ([Matt. 23:35](/matt#Matt.23.35)). “The blood of sprinkling” is said to speak “better things than that of Abel” ([Heb. 12:24](/heb#Heb.12.24)); i.e., the blood of Jesus is the reality of which the blood of the offering made by Abel was only the type. The comparison here is between the sacrifice offered by Christ and that offered by Abel, and not between the blood of Christ calling for mercy and the blood of the murdered Abel calling for vengeance, as has sometimes been supposed. It is also said ([Heb. 11:4](/heb#Heb.11.4)) that “Abel offered unto God a more excellent sacrifice than Cain.” This sacrifice was made “by faith;” this faith rested in God, not only as the Creator and the God of providence, but especially in God as the great Redeemer, whose sacrifice was typified by the sacrifices which, no doubt by the divine institution, were offered from the days of Adam downward. On account of that “faith” which looked forward to the great atoning sacrifice, Abel’s offering was accepted of God. Cain’s offering had no such reference, and therefore was rejected. Abel was the first martyr, as he was the first of our race to die.

 Abel (Heb. ‘abhel), lamentation ([1 Sam. 6:18](/1sam#1Sam.6.18)), the name given to the great stone in Joshua’s field whereon the ark was “set down.” The Revised Version, however, following the Targum and the LXX., reads in the Hebrew text ’ebhen (= a stone), and accordingly translates “unto the great stone, whereon they set down the ark.” This reading is to be preferred.

 Abel (Heb. ‘abhel), a grassy place, a meadow. This word enters into the composition of the following words:"
abiah_15,"The second son of Samuel ([1 Sam. 8:2](/1sam#1Sam.8.2); [1 Chr. 6:28](/1chr#1Chr.6.28)). His conduct, along with that of his brother, as a judge in Beer-sheba, to which office his father had appointed him, led to popular discontent, and ultimately provoked the people to demand a royal form of government."
abiah_16,[1 Chr. 2:24](/1chr#1Chr.2.24).
abiah_17,"One of the sons of Becher, the son of Benjamin ([1 Chr. 7:8](/1chr#1Chr.7.8)). “Abiah,” A.V."
abiathar_20,"Father of abundance, or my father excels, the son of Ahimelech the high priest. He was the tenth high priest, and the fourth in descent from Eli. When his father was slain with the priests of Nob, he escaped, and bearing with him the ephod, he joined David, who was then in the cave of Adullam ([1 Sam. 22:20-23](/1sam#1Sam.22.20); [23:6](/1sam#1Sam.23.6)). He remained with David, and became priest of the party of which he was the leader ([1 Sam. 30:7](/1sam#1Sam.30.7)). When David ascended the throne of Judah, Abiathar was appointed high priest ([1 Chr. 15:11](/1chr#1Chr.15.11); [1 Kings 2:26](/1kgs#1Kgs.2.26)) and the “king’s companion” ([1 Chr. 27:34](/1chr#1Chr.27.34)). Meanwhile Zadok, of the house of Eleazar, had been made high priest. These appointments continued in force till the end of David’s reign ([1 Kings 4:4](/1kgs#1Kgs.4.4)). Abiathar was deposed (the sole historical instance of the deposition of a high priest) and banished to his home at Anathoth by Solomon, because he took part in the attempt to raise Adonijah to the throne. The priesthood thus passed from the house of Ithamar ([1 Sam. 2:30-36](/1sam#1Sam.2.30); [1 Kings 1:19](/1kgs#1Kgs.1.19); [2:26](/1kgs#1Kgs.2.26), [27](/1kgs#1Kgs.2.27)). Zadok now became sole high priest. In [Mark 2:26](/mark#Mark.2.26), reference is made to an occurrence in “the days of Abiathar the high priest.” But from [1 Sam. 22](/1sam#1Sam.22), we learn explicitly that this event took place when Ahimelech, the father of Abiathar, was high priest. The apparent discrepancy is satisfactorily explained by interpreting the words in Mark as referring to the life-time of Abiathar, and not to the term of his holding the office of high priest. It is not implied in Mark that he was actual high priest at the time referred to. Others, however, think that the loaves belonged to Abiathar, who was at that time ([Lev. 24:9](/lev#Lev.24.9)) a priest, and that he either himself gave them to David, or persuaded his father to give them."
abida_21,"Or Abi’dah, father of knowledge; knowing, one of the five sons of Midian, who was the son of Abraham by Keturah ([1 Chr. 1:33](/1chr#1Chr.1.33)), and apparently the chief of an Arab tribe."
abidan_22,"Father of judgment; judge, head of the tribe of Benjamin at the Exodus ([Num. 1:11](/num#Num.1.11); [2:22](/num#Num.2.22))."
abiel_18,"An Arbathite, one of David’s warriors ([1 Chr. 11:32](/1chr#1Chr.11.32)); called also Abi-albon ([2 Sam. 23:31](/2sam#2Sam.23.31))."
abiel_23,"The son of Zeror and father of Ner, who was the grandfather of Saul ([1 Sam. 14:51](/1sam#1Sam.14.51); [1 Chr. 8:33](/1chr#1Chr.8.33); [9:39](/1chr#1Chr.9.39)). In [1 Sam. 9:1](/1sam#1Sam.9.1), he is called the “father,” probably meaning the grandfather, of Kish."
abiezer_24,One of David’s thirty warriors ([2 Sam. 23:27](/2sam#2Sam.23.27); comp. [1 Chr. 27:12](/1chr#1Chr.27.12)).
abiezer_25,
abiezer_763,"The second of the three sons of Hammoleketh, the sister of Gilead. He was the grandson of Manasseh ([1 Chr. 7:18](/1chr#1Chr.7.18)). From his family Gideon sprang ([Josh. 17:2](/josh#Josh.17.2); comp. [Judg. 6:34](/judg#Judg.6.34); [8:2](/judg#Judg.8.2)). He was also called Jeezer ([Num. 26:30](/num#Num.26.30))."
abigail_26,"The wife of the churlish Nabal, who dwelt in the district of Carmel ([1 Sam. 25:3](/1sam#1Sam.25.3)). She showed great prudence and delicate management at a critical period of her husband’s life. She was “a woman of good understanding, and of a beautiful countenance.” After Nabal’s death she became the wife of David ([1 Sam. 25:14-42](/1sam#1Sam.25.14)), and was his companion in all his future fortunes ([1 Sam. 27:3](/1sam#1Sam.27.3); [30:5](/1sam#1Sam.30.5); [2 Sam. 2:2](/2sam#2Sam.2.2)). By her David had a son called Chileab ([2 Sam. 3:3](/2sam#2Sam.3.3)), elsewhere called Daniel ([1 Chr. 3:1](/1chr#1Chr.3.1))."
abigail_27,"The sister of David, and wife of Jether an Ishmaelite ([1 Chr. 2:16](/1chr#1Chr.2.16), [17](/1chr#1Chr.2.17)). She was the mother of Amasa ([2 Sam. 17:25](/2sam#2Sam.17.25))."
abihail_28,
abihail_29,[1 Chr. 2:29](/1chr#1Chr.2.29).
abihail_30,[1 Chr. 5:14](/1chr#1Chr.5.14).
abihail_31,"The second wife of King Rehoboam ([2 Chr. 11:18](/2chr#2Chr.11.18)), a descendant of Eliab, David’s eldest brother."
abihail_32,The father of Esther and uncle of Mordecai ([Esther 2:15](/esth#Esth.2.15)).
abihu_33,"Father of Him; i.e., “worshipper of God”, the second of the sons of Aaron ([Ex. 6:23](/exod#Exod.6.23); [Num. 3:2](/num#Num.3.2); [26:60](/num#Num.26.60); [1 Chr. 6:3](/1chr#1Chr.6.3)). Along with his three brothers he was consecrated to the priest’s office ([Ex. 28:1](/exod#Exod.28.1)). With his father and elder brother he accompanied the seventy elders part of the way up the mount with Moses ([Ex. 24:1](/exod#Exod.24.1), [9](/exod#Exod.24.9)). On one occasion he and Nadab his brother offered incense in their censers filled with “strange” (i.e., common) fire, i.e., not with fire taken from the great brazen altar ([Lev. 6:9](/lev#Lev.6.9), etc.), and for this offence they were struck dead, and were taken out and buried without the camp ([Lev. 10:1-11](/lev#Lev.10.1); comp. [Num. 3:4](/num#Num.3.4); [26:61](/num#Num.26.61); [1 Chr. 24:2](/1chr#1Chr.24.2)). It is probable that when they committed this offence they were intoxicated, for immediately after is given the law prohibiting the use of wine or strong drink to the priests."
abihud_34,"One of the sons of Bela, the son of Benjamin ([1 Chr. 8:3](/1chr#1Chr.8.3)); called also Ahihud (ver. 7)."
abijah_14,"The daughter of Zechariah ([2 Chr. 29:1](/2chr#2Chr.29.1); comp. [Isa. 8:2](/isa#Isa.8.2)), and afterwards the wife of Ahaz. She is also called Abi ([2 Kings 18:2](/2kgs#2Kgs.18.2))."
abijah_35,"A son of Jeroboam, the first king of Israel. On account of his severe illness when a youth, his father sent his wife to consult the prophet Ahijah regarding his recovery. The prophet, though blind with old age, knew the wife of Jeroboam as soon as she approached, and under a divine impulse he announced to her that inasmuch as in Abijah alone of all the house of Jeroboam there was found “some good thing toward the Lord,” he only would come to his grave in peace. As his mother crossed the threshold of the door on her return, the youth died, and “all Israel mourned for him” ([1 Kings 14:1-18](/1kgs#1Kgs.14.1))."
abijah_36,"A descendant of Eleazar, the son of Aaron, a chief of one of the twenty-four orders into which the priesthood was divided by David ([1 Chr. 24:10](/1chr#1Chr.24.10)). The order of Abijah was one of those which did not return from the Captivity ([Ezra 2:36-39](/ezra#Ezra.2.36); [Neh. 7:39-42](/neh#Neh.7.39); [12:1](/neh#Neh.12.1))."
abijah_37,
abijah_38,"The son of Rehoboam, whom he succeeded on the throne of Judah ([1 Chr. 3:10](/1chr#1Chr.3.10)). He is also called Abijam ([1 Kings 14:31](/1kgs#1Kgs.14.31); [15:1-8](/1kgs#1Kgs.15.1)). He began his three years’ reign ([2 Chr. 12:16](/2chr#2Chr.12.16); [13:1](/2chr#2Chr.13.1), [2](/2chr#2Chr.13.2)) with a strenuous but unsuccessful effort to bring back the ten tribes to their allegiance. His address to “Jeroboam and all Israel,” before encountering them in battle, is worthy of being specially noticed ([2 Chr. 13:5-12](/2chr#2Chr.13.5)). It was a very bloody battle, no fewer than 500,000 of the army of Israel having perished on the field. He is described as having walked “in all the sins of his father” ([1 Kings 15:3](/1kgs#1Kgs.15.3); [2 Chr. 11:20-22](/2chr#2Chr.11.20)). It is said in [1 Kings 15:2](/1kgs#1Kgs.15.2) that “his mother’s name was Maachah, the daughter of Abishalom;” but in [2 Chr. 13:2](/2chr#2Chr.13.2) we read, “his mother’s name was Michaiah, the daughter of Uriel of Gibeah.” The explanation is that Maachah is just a variation of the name Michaiah, and that Abishalom is probably the same as Absalom, the son of David. It is probable that “Uriel of Gibeah” married Tamar, the daughter of Absalom ([2 Sam. 14:27](/2sam#2Sam.14.27)), and by her had Maachah. The word “daughter” in [1 Kings 15:2](/1kgs#1Kgs.15.2) will thus, as it frequently elsewhere does, mean grand-daughter."
abimael_39,"Father of Mael, one of the sons or descendants of Joktan, in Northern Arabia ([Gen. 10:28](/gen#Gen.10.28); [1 Chr. 1:22](/1chr#1Chr.1.22))."
abimelech_40,"A king of Gerar in the time of Isaac, probably the son of the preceeding ([Gen. 26:1-22](/gen#Gen.26.1)). Isaac sought refuge in his territory during a famine, and there he acted a part with reference to his wife Rebekah similar to that of his father Abraham with reference to Sarah. Abimelech rebuked him for the deception, which he accidentally discovered. Isaac settled for a while here, and prospered. Abimelech desired him, however, to leave his territory, which Isaac did. Abimelech afterwards visited him when he was encamped at Beer-sheba, and expressed a desire to renew the covenant which had been entered into between their fathers ([Gen. 26:26-31](/gen#Gen.26.26))."
abimelech_41,"A son of Gideon ([Judg. 9:1](/judg#Judg.9.1)), who was proclaimed king after the death of his father ([Judg. 8:33-9:6](/judg#Judg.8.33)). One of his first acts was to murder his brothers, seventy in number, “on one stone,” at Ophrah. Only one named Jotham escaped. He was an unprincipled, ambitious ruler, often engaged in war with his own subjects. When engaged in reducing the town of Thebez, which had revolted, he was struck mortally on his head by a mill-stone, thrown by the hand of a woman from the wall above. Perceiving that the wound was mortal, he desired his armour-bearer to thrust him through with his sword, that it might not be said he had perished by the hand of a woman ([Judg. 9:50-57](/judg#Judg.9.50))."
abimelech_42,
abinadab_43,"A Levite of Kirjath-jearim, in whose house the ark of the covenant was deposited after having been brought back from the land of the Philistines ([1 Sam. 7:1](/1sam#1Sam.7.1)). It remained there twenty years, till it was at length removed by David ([1 Sam. 7:1](/1sam#1Sam.7.1), [2](/1sam#1Sam.7.2); [1 Chr. 13:7](/1chr#1Chr.13.7))."
abinadab_44,The second of the eight sons of Jesse ([1 Sam. 16:8](/1sam#1Sam.16.8)). He was with Saul in the campaign against the Philistines in which Goliath was slain ([1 Sam. 17:13](/1sam#1Sam.17.13)).
abinadab_45,"One of Solomon’s officers, who “provided victuals for the king and his household.” He presided, for this purpose, over the district of Dor ([1 Kings 4:11](/1kgs#1Kgs.4.11))."
abinadab_641,"One of Saul’s sons, who peristed with his father in the battle of Gilboa ([1 Sam. 31:2](/1sam#1Sam.31.2); [1 Chr. 10:2](/1chr#1Chr.10.2))."
abinoam_46,"Father of kindness, the father of Barak ([Judg. 4:6](/judg#Judg.4.6); [5:1](/judg#Judg.5.1))."
abiram_47,"One of the sons of Eliab, who joined Korah in the conspiracy against Moses and Aaron. He and all the conspirators, with their families and possessions (except the children of Korah), were swallowed up by an earthquake ([Num. 16:1-27](/num#Num.16.1); [26:9](/num#Num.26.9); [Ps. 106:17](/ps#Ps.106.17))."
abiram_48,"The eldest son of Hiel the Bethelite, who perished prematurely in consequence of his father’s undertaking to rebuild Jericho ([1 Kings 16:34](/1kgs#1Kgs.16.34)), according to the words of Joshua (6:26)."
abishag_49,"Father of (i.e., “given to”) error, a young woman of Shunem, distinguished for her beauty. She was chosen to minister to David in his old age. She became his wife ([1 Kings 1:3](/1kgs#1Kgs.1.3), [4](/1kgs#1Kgs.1.4), [15](/1kgs#1Kgs.1.15)). After David’s death Adonijah persuaded Bathsheba, Solomon’s mother, to entreat the king to permit him to marry Abishag. Solomon suspected in this request an aspiration to the throne, and therefore caused him to be put to death ([1 Kings 2:17-25](/1kgs#1Kgs.2.17))."
abishai_50,"Father of (i.e., “desirous of”) a gift, the eldest son of Zeruiah, David’s sister. He was the brother of Joab and Asahel ([2 Sam. 2:18](/2sam#2Sam.2.18); [1 Chr. 2:16](/1chr#1Chr.2.16)). Abishai was the only one who accompanied David when he went to the camp of Saul and took the spear and the cruse of water from Saul’s bolster ([1 Sam. 26:5-12](/1sam#1Sam.26.5)). He had the command of one of the three divisions of David’s army at the battle with Absalom ([2 Sam. 18:2](/2sam#2Sam.18.2), [5](/2sam#2Sam.18.5), [12](/2sam#2Sam.18.12)). He slew the Philistine giant Ishbi-benob, who threatened David’s life ([2 Sam. 21:15-17](/2sam#2Sam.21.15)). He was the chief of the second rank of the three “mighties” ([2 Sam. 23:18](/2sam#2Sam.23.18), [19](/2sam#2Sam.23.19); [1 Chr. 11:20](/1chr#1Chr.11.20), [21](/1chr#1Chr.11.21)); and on one occasion withstood 300 men, and slew them with his own spear ([2 Sam. 23:18](/2sam#2Sam.23.18)). Abishai is the name of the Semitic chief who offers gifts to the lord of Beni-Hassan. See illustration facing page 10."
abishua_51,"The son of Phinehas the high priest ([1 Chr. 6:4](/1chr#1Chr.6.4), [5](/1chr#1Chr.6.5), [50](/1chr#1Chr.6.50); [Ezra 7:5](/ezra#Ezra.7.5))."
abishua_52,The grandson of Benjamin ([1 Chr. 8:4](/1chr#1Chr.8.4)).
abishur_53,"Father of the wall; i.e., “mason”, one of the two sons of Shammai of the tribe of Judah ([1 Chr. 2:28](/1chr#1Chr.2.28), [29](/1chr#1Chr.2.29))."
abital_54,"Father of dew; i.e., “fresh”, David’s fifth wife ([2 Sam. 3:4](/2sam#2Sam.3.4))."
abitub_55,"Father of goodness, a Benjamite ([1 Chr. 8:11](/1chr#1Chr.8.11))."
abiud_56,"A descendant of Zerubbabel and father of Eliakim ([Matt. 1:13](/matt#Matt.1.13), “Abiud”); called also Juda ([Luke 3:26](/luke#Luke.3.26)), and Obadiah ([1 Chr. 3:21](/1chr#1Chr.3.21))."
abner_57,"Father of light; i.e., “enlightening”, the son of Ner and uncle of Saul. He was commander-in-chief of Saul’s army ([1 Sam. 14:50](/1sam#1Sam.14.50); [17:55](/1sam#1Sam.17.55); [20:25](/1sam#1Sam.20.25)). He first introduced David to the court of Saul after the victory over Goliath ([1 Sam. 17:57](/1sam#1Sam.17.57)). After the death of Saul, David was made king over Judah, and reigned in Hebron. Among the other tribes there was a feeling of hostility to Judah; and Abner, at the head of Ephraim, fostered this hostility in the interest of the house of Saul, whose son Ish-bosheth he caused to be proclaimed king ([2 Sam. 2:8](/2sam#2Sam.2.8)). A state of war existed between these two kings. A battle fatal to Abner, who was the leader of Ish-boseth’s army, was fought with David’s army under Joab at Gibeon ([2 Sam. 2:12](/2sam#2Sam.2.12)). Abner, escaping from the field, was overtaken by Asahel, who was “light of foot as a wild roe,” the brother of Joab and Abishai, whom he thrust through with a back stroke of his spear ([2 Sam. 2](/2sam#2Sam.2): 18-32).

 Being rebuked by Ish-bosheth for the impropriety of taking to wife Rizpah, who had been a concubine of King Saul, he found an excuse for going over to the side of David, whom he now professed to regard as anointed by the Lord to reign over all Israel. David received him favourably, and promised that he would have command of the armies. At this time Joab was absent from Hebron, but on his return he found what had happened. Abner had just left the city; but Joab by a stratagem recalled him, and meeting him at the gate of the city on his return, thrust him through with his sword ([2 Sam. 3:27](/2sam#2Sam.3.27), [31](/2sam#2Sam.3.31)-39; 4:12. Comp. [1 Kings 2:5](/1kgs#1Kgs.2.5), [32](/1kgs#1Kgs.2.32)). David lamented in pathetic words the death of Abner, “Know ye not that there is a prince and a great man fallen this day in Israel?” ([2 Sam. 3:33-38](/2sam#2Sam.3.33).)"
