EventID,Reference,Concatenated_Text
251,Numbers 7:89,"[Numbers] [ch 7] [verse 89] And when Moses went into the tent of meeting to speak with him, then he heard the Voice speaking unto him from above the mercy-seat that was upon the ark of the testimony, from between the two cherubim: and he spake unto him."
252,Numbers 8:1-4,"[Numbers] [ch 8] [verse 1] And Jehovah spake unto Moses, saying, [verse 2] Speak unto Aaron, and say unto him, When thou lightest the lamps, the seven lamps shall give light in front of the candlestick. [verse 3] And Aaron did so; he lighted the lamps thereof [so as to give light] in front of the candlestick, as Jehovah commanded Moses. [verse 4] And this was the work of the candlestick, beaten work of gold; unto the base thereof, [and] unto the flowers thereof, it was beaten work: according unto the pattern which Jehovah had showed Moses, so he made the candlestick."
253,Numbers 8:5-26,"[Numbers] [ch 8] [verse 10] and thou shalt present the Levites before Jehovah. And the children of Israel shall lay their hands upon the Levites: [verse 11] and Aaron shall offer the Levites before Jehovah for a wave-offering, on the behalf of the children of Israel, that it may be theirs to do the service of Jehovah. [verse 12] And the Levites shall lay their hands upon the heads of the bullocks: and offer thou the one for a sin-offering, and the other for a burnt-offering, unto Jehovah, to make atonement for the Levites. [verse 13] And thou shalt set the Levites before Aaron, and before his sons, and offer them for a wave-offering unto Jehovah. [verse 14] Thus shalt thou separate the Levites from among the children of Israel; and the Levites shall be mine. [verse 15] And after that shall the Levites go in to do the service of the tent of meeting: and thou shalt cleanse them, and offer them for a wave-offering. [verse 16] For they are wholly given unto me from among the children of Israel; instead of all that openeth the womb, even the first-born of all the children of Israel, have I taken them unto me. [verse 17] For all the first-born among the children of Israel are mine, both man and beast: on the day that I smote all the first-born in the land of Egypt I sanctified them for myself. [verse 18] And I have taken the Levites instead of all the first-born among the children of Israel. [verse 19] And I have given the Levites as a gift to Aaron and to his sons from among the children of Israel, to do the service of the children of Israel in the tent of meeting, and to make atonement for the children of Israel; that there be no plague among the children of Israel, when the children of Israel come nigh unto the sanctuary. [verse 20] Thus did Moses, and Aaron, and all the congregation of the children of Israel, unto the Levites: according unto all that Jehovah commanded Moses touching the Levites, so did the children of Israel unto them. [verse 21] And the Levites purified themselves from sin, and they washed their clothes: and Aaron offered them for a wave-offering before Jehovah; and Aaron made atonement for them to cleanse them. [verse 22] And after that went the Levites in to do their service in the tent of meeting before Aaron, and before his sons: as Jehovah had commanded Moses concerning the Levites, so did they unto them. [verse 23] And Jehovah spake unto Moses, saying, [verse 24] This is that which belongeth unto the Levites: from twenty and five years old and upward they shall go in to wait upon the service in the work of the tent of meeting: [verse 25] and from the age of fifty years they shall cease waiting upon the work, and shall serve no more, [verse 26] but shall minister with their brethren in the tent of meeting, to keep the charge, and shall do no service. Thus shalt thou do unto the Levites touching their charges. [verse 5] And Jehovah spake unto Moses, saying, [verse 6] Take the Levites from among the children of Israel, and cleanse them. [verse 7] And thus shalt thou do unto them, to cleanse them: sprinkle the water of expiation upon them, and let them cause a razor to pass over all their flesh, and let them wash their clothes, and cleanse themselves. [verse 8] Then let them take a young bullock, and its meal-offering, fine flour mingled with oil; and another young bullock shalt thou take for a sin-offering. [verse 9] And thou shalt present the Levites before the tent of meeting: and thou shalt assemble the whole congregation of the children of Israel:"
254,Numbers 9:1-14,"[Numbers] [ch 9] [verse 1] And Jehovah spake unto Moses in the wilderness of Sinai, in the first month of the second year after they were come out of the land of Egypt, saying, [verse 10] Speak unto the children of Israel, saying, If any man of you or of your generations shall be unclean by reason of a dead body, or be on a journey afar off, yet he shall keep the passover unto Jehovah. [verse 11] In the second month on the fourteenth day at even they shall keep it; they shall eat it with unleavened bread and bitter herbs: [verse 12] they shall leave none of it unto the morning, nor break a bone thereof: according to all the statute of the passover they shall keep it. [verse 13] But the man that is clean, and is not on a journey, and forbeareth to keep the passover, that soul shall be cut off from his people; because he offered not the oblation of Jehovah in its appointed season, that man shall bear his sin. [verse 14] And if a stranger shall sojourn among you, and will keep the passover unto Jehovah; according to the statute of the passover, and according to the ordinance thereof, so shall he do: ye shall have one statute, both for the sojourner, and for him that is born in the land. [verse 2] Moreover let the children of Israel keep the passover in its appointed season. [verse 3] In the fourteenth day of this month, at even, ye shall keep it in its appointed season: according to all the statutes of it, and according to all the ordinances thereof, shall ye keep it. [verse 4] And Moses spake unto the children of Israel, that they should keep the passover. [verse 5] And they kept the passover in the first [month], on the fourteenth day of the month, at even, in the wilderness of Sinai: according to all that Jehovah commanded Moses, so did the children of Israel. [verse 6] And there were certain men, who were unclean by reason of the dead body of a man, so that they could not keep the passover on that day: and they came before Moses and before Aaron on that day: [verse 7] and those men said unto him, We are unclean by reason of the dead body of a man: wherefore are we kept back, that we may not offer the oblation of Jehovah in its appointed season among the children of Israel? [verse 8] And Moses said unto them, Stay ye, that I may hear what Jehovah will command concerning you. [verse 9] And Jehovah spake unto Moses, saying,"
255,Numbers 9:15-23,"[Numbers] [ch 9] [verse 15] And on the day that the tabernacle was reared up the cloud covered the tabernacle, even the tent of the testimony: and at even it was upon the tabernacle as it were the appearance of fire, until morning. [verse 16] So it was alway: the cloud covered it, and the appearance of fire by night. [verse 17] And whenever the cloud was taken up from over the Tent, then after that the children of Israel journeyed: and in the place where the cloud abode, there the children of Israel encamped. [verse 18] At the commandment of Jehovah the children of Israel journeyed, and at the commandment of Jehovah they encamped: as long as the cloud abode upon the tabernacle they remained encamped. [verse 19] And when the cloud tarried upon the tabernacle many days, then the children of Israel kept the charge of Jehovah, and journeyed not. [verse 20] And sometimes the cloud was a few days upon the tabernacle; then according to the commandment of Jehovah they remained encamped, and according to the commandment of Jehovah they journeyed. [verse 21] And sometimes the cloud was from evening until morning; and when the cloud was taken up in the morning, they journeyed: or [if it continued] by day and by night, when the cloud was taken up, they journeyed. [verse 22] Whether it were two days, or a month, or a year, that the cloud tarried upon the tabernacle, abiding thereon, the children of Israel remained encamped, and journeyed not; but when it was taken up, they journeyed. [verse 23] At the commandment of Jehovah they encamped, and at the commandment of Jehovah they journeyed: they kept the charge of Jehovah, at the commandment of Jehovah by Moses."
256,Numbers 10:1-10,"[Numbers] [ch 10] [verse 1] And Jehovah spake unto Moses, saying, [verse 10] Also in the day of your gladness, and in your set feasts, and in the beginnings of your months, ye shall blow the trumpets over your burnt-offerings, and over the sacrifices of your peace-offerings; and they shall be to you for a memorial before your God: I am Jehovah your God. [verse 2] Make thee two trumpets of silver; of beaten work shalt thou make them: and thou shalt use them for the calling of the congregation, and for the journeying of the camps. [verse 3] And when they shall blow them, all the congregation shall gather themselves unto thee at the door of the tent of meeting. [verse 4] And if they blow but one, then the princes, the heads of the thousands of Israel, shall gather themselves unto thee. [verse 5] And when ye blow an alarm, the camps that lie on the east side shall take their journey. [verse 6] And when ye blow an alarm the second time, the camps that lie on the south side shall take their journey: they shall blow an alarm for their journeys. [verse 7] But when the assembly is to be gathered together, ye shall blow, but ye shall not sound an alarm. [verse 8] And the sons of Aaron, the priests, shall blow the trumpets; and they shall be to you for a statute for ever throughout your generations. [verse 9] And when ye go to war in your land against the adversary that oppresseth you, then ye shall sound an alarm with the trumpets; and ye shall be remembered before Jehovah your God, and ye shall be saved from your enemies."
257,Numbers 10:11-28,"[Numbers] [ch 10] [verse 11] And it came to pass in the second year, in the second month, on the twentieth day of the month, that the cloud was taken up from over the tabernacle of the testimony. [verse 12] And the children of Israel set forward according to their journeys out of the wilderness of Sinai; and the cloud abode in the wilderness of Paran. [verse 13] And they first took their journey according to the commandment of Jehovah by Moses. [verse 14] And in the first [place] the standard of the camp of the children of Judah set forward according to their hosts: and over his host was Nahshon the son of Amminadab. [verse 15] And over the host of the tribe of the children of Issachar was Nethanel the son of Zuar. [verse 16] And over the host of the tribe of the children of Zebulun was Eliab the son of Helon. [verse 17] And the tabernacle was taken down; and the sons of Gershon and the sons of Merari, who bare the tabernacle, set forward. [verse 18] And the standard of the camp of Reuben set forward according to their hosts: and over his host was Elizur the son of Shedeur. [verse 19] And over the host of the tribe of the children of Simeon was Shelumiel the son of Zurishaddai. [verse 20] And over the host of the tribe of the children of Gad was Eliasaph the son of Deuel. [verse 21] And the Kohathites set forward, bearing the sanctuary: and [the others] did set up the tabernacle against their coming. [verse 22] And the standard of the camp of the children of Ephraim set forward according to their hosts: and over his host was Elishama the son of Ammihud. [verse 23] And over the host of the tribe of the children of Manasseh was Gamaliel the son of Pedahzur. [verse 24] And over the host of the tribe of the children of Benjamin was Abidan the son of Gideoni. [verse 25] And the standard of the camp of the children of Dan, which was the rearward of all the camps, set forward according to their hosts: and over his host was Ahiezer the son of Ammishaddai. [verse 26] And over the host of the tribe of the children of Asher was Pagiel the son of Ochran. [verse 27] And over the host of the tribe of the children of Naphtali was Ahira the son of Enan. [verse 28] Thus were the journeyings of the children of Israel according to their hosts; and they set forward."
258,"Numbers 11:1-3, 11:10","[Numbers] [ch 11] [verse 1] And the people were as murmurers, [speaking] evil in the ears of Jehovah: and when Jehovah heard it, his anger was kindled; and the fire of Jehovah burnt among them, and devoured in the uttermost part of the camp. [verse 10] And Moses heard the people weeping throughout their families, every man at the door of his tent: and the anger of Jehovah was kindled greatly; and Moses was displeased. [verse 2] And the people cried unto Moses; and Moses prayed unto Jehovah, and the fire abated. [verse 3] And the name of that place was called Taberah, because the fire of Jehovah burnt among them."
259,Numbers 11:2,"[Numbers] [ch 11] [verse 2] And the people cried unto Moses; and Moses prayed unto Jehovah, and the fire abated."
260,Numbers 11:16-25,"[Numbers] [ch 11] [verse 16] And Jehovah said unto Moses, Gather unto me seventy men of the elders of Israel, whom thou knowest to be the elders of the people, and officers over them; and bring them unto the tent of meeting, that they may stand there with thee. [verse 17] And I will come down and talk with thee there: and I will take of the Spirit which is upon thee, and will put it upon them; and they shall bear the burden of the people with thee, that thou bear it not thyself alone. [verse 18] And say thou unto the people, Sanctify yourselves against to-morrow, and ye shall eat flesh; for ye have wept in the ears of Jehovah, saying, Who shall give us flesh to eat? for it was well with us in Egypt: therefore Jehovah will give you flesh, and ye shall eat. [verse 19] Ye shall not eat one day, nor two days, nor five days, neither ten days, nor twenty days, [verse 20] but a whole month, until it come out at your nostrils, and it be loathsome unto you; because that ye have rejected Jehovah who is among you, and have wept before him, saying, Why came we forth out of Egypt? [verse 21] And Moses said, The people, among whom I am, are six hundred thousand footmen; and thou hast said, I will give them flesh, that they may eat a whole month. [verse 22] Shall flocks and herds be slain for them, to suffice them? or shall all the fish of the sea be gathered together for them, to suffice them? [verse 23] And Jehovah said unto Moses, Is Jehovah's hand waxed short? now shalt thou see whether my word shall come to pass unto thee or not. [verse 24] And Moses went out, and told the people the words of Jehovah: and he gathered seventy men of the elders of the people, and set them round about the Tent. [verse 25] And Jehovah came down in the cloud, and spake unto him, and took of the Spirit that was upon him, and put it upon the seventy elders: and it came to pass, that, when the Spirit rested upon them, they prophesied, but they did so no more."
261,Numbers 11:25,"[Numbers] [ch 11] [verse 25] And Jehovah came down in the cloud, and spake unto him, and took of the Spirit that was upon him, and put it upon the seventy elders: and it came to pass, that, when the Spirit rested upon them, they prophesied, but they did so no more."
262,Numbers 11:26-29,"[Numbers] [ch 11] [verse 26] But there remained two men in the camp, the name of the one was Eldad, and the name of the other Medad: and the Spirit rested upon them; and they were of them that were written, but had not gone out unto the Tent; and they prophesied in the camp. [verse 27] And there ran a young man, and told Moses, and said, Eldad and Medad do prophesy in the camp. [verse 28] And Joshua the son of Nun, the minister of Moses, one of his chosen men, answered and said, My lord Moses, forbid them. [verse 29] And Moses said unto him, Art thou jealous for my sake? would that all Jehovah's people were prophets, that Jehovah would put his Spirit upon them!"
263,Numbers 11:31,"[Numbers] [ch 11] [verse 31] And there went forth a wind from Jehovah, and brought quails from the sea, and let them fall by the camp, about a day's journey on this side, and a day's journey on the other side, round about the camp, and about two cubits above the face of the earth."
264,Numbers 11:33-34,"[Numbers] [ch 11] [verse 33] While the flesh was yet between their teeth, ere it was chewed, the anger of Jehovah was kindled against the people, and Jehovah smote the people with a very great plague. [verse 34] And the name of that place was called Kibroth-hattaavah, because there they buried the people that lusted."
265,Numbers 12:4,"[Numbers] [ch 12] [verse 4] And Jehovah spake suddenly unto Moses, and unto Aaron, and unto Miriam, Come out ye three unto the tent of meeting. And they three came out."
266,Numbers 12:5,"[Numbers] [ch 12] [verse 5] And Jehovah came down in a pillar of cloud, and stood at the door of the Tent, and called Aaron and Miriam; and they both came forth."
267,Numbers 12:6-9,"[Numbers] [ch 12] [verse 6] And he said, Hear now my words: if there be a prophet among you, I Jehovah will make myself known unto him in a vision, I will speak with him in a dream. [verse 7] My servant Moses is not so; he is faithful in all my house: [verse 8] with him will I speak mouth to mouth, even manifestly, and not in dark speeches; and the form of Jehovah shall he behold: wherefore then were ye not afraid to speak against my servant, against Moses? [verse 9] And the anger of Jehovah was kindled against them; and he departed."
268,Numbers 12:10,"[Numbers] [ch 12] [verse 10] And the cloud removed from over the Tent; and, behold, Miriam was leprous, as [white as] snow: and Aaron looked upon Miriam, and, behold, she was leprous."
269,Numbers 12:13,"[Numbers] [ch 12] [verse 13] And Moses cried unto Jehovah, saying, Heal her, O God, I beseech thee."
270,Numbers 12:14-15,"[Numbers] [ch 12] [verse 14] And Jehovah said unto Moses, If her father had but spit in her face, should she not be ashamed seven days? let her be shut up without the camp seven days, and after that she shall be brought in again. [verse 15] And Miriam was shut up without the camp seven days: and the people journeyed not till Miriam was brought in again."
271,Numbers 13:1-3,"[Numbers] [ch 13] [verse 1] And Jehovah spake unto Moses, saying, [verse 2] Send thou men, that they may spy out the land of Canaan, which I give unto the children of Israel: of every tribe of their fathers shall ye send a man, every one a prince among them. [verse 3] And Moses sent them from the wilderness of Paran according to the commandment of Jehovah: all of them men who were heads of the children of Israel."
272,Numbers 14:10,[Numbers] [ch 14] [verse 10] But all the congregation bade stone them with stones. And the glory of Jehovah appeared in the tent of meeting unto all the children of Israel.
273,Numbers 14:11-12,"[Numbers] [ch 14] [verse 11] And Jehovah said unto Moses, How long will this people despise me? and how long will they not believe in me, for all the signs which I have wrought among them? [verse 12] I will smite them with the pestilence, and disinherit them, and will make of thee a nation greater and mightier than they."
274,Numbers 14:20-35,"[Numbers] [ch 14] [verse 20] And Jehovah said, I have pardoned according to thy word: [verse 21] but in very deed, as I live, and as all the earth shall be filled with the glory of Jehovah; [verse 22] because all those men that have seen my glory, and my signs, which I wrought in Egypt and in the wilderness, yet have tempted me these ten times, and have not hearkened to my voice; [verse 23] surely they shall not see the land which I sware unto their fathers, neither shall any of them that despised me see it: [verse 24] but my servant Caleb, because he had another spirit with him, and hath followed me fully, him will I bring into the land whereinto he went; and his seed shall possess it. [verse 25] Now the Amalekite and the Canaanite dwell in the valley: to-morrow turn ye, and get you into the wilderness by the way to the Red Sea. [verse 26] And Jehovah spake unto Moses and unto Aaron, saying, [verse 27] How long [shall I bear] with this evil congregation, that murmur against me? I have heard the murmurings of the children of Israel, which they murmur against me. [verse 28] Say unto them, As I live, saith Jehovah, surely as ye have spoken in mine ears, so will I do to you: [verse 29] your dead bodies shall fall in this wilderness; and all that were numbered of you, according to your whole number, from twenty years old and upward, that have murmured against me, [verse 30] surely ye shall not come into the land, concerning which I sware that I would make you dwell therein, save Caleb the son of Jephunneh, and Joshua the son of Nun. [verse 31] But your little ones, that ye said should be a prey, them will I bring in, and they shall know the land which ye have rejected. [verse 32] But as for you, your dead bodies shall fall in this wilderness. [verse 33] And your children shall be wanderers in the wilderness forty years, and shall bear your whoredoms, until your dead bodies be consumed in the wilderness. [verse 34] After the number of the days in which ye spied out the land, even forty days, for every day a year, shall ye bear your iniquities, even forty years, and ye shall know my alienation. [verse 35] I, Jehovah, have spoken, surely this will I do unto all this evil congregation, that are gathered together against me: in this wilderness they shall be consumed, and there they shall die."
275,Numbers 14:36-37,"[Numbers] [ch 14] [verse 36] And the men, whom Moses sent to spy out the land, who returned, and made all the congregation to murmur against him, by bringing up an evil report against the land, [verse 37] even those men that did bring up an evil report of the land, died by the plague before Jehovah."
276,Numbers 14:39-45,"[Numbers] [ch 14] [verse 39] And Moses told these words unto all the children of Israel: and the people mourned greatly. [verse 40] And they rose up early in the morning, and gat them up to the top of the mountain, saying, Lo, we are here, and will go up unto the place which Jehovah hath promised: for we have sinned. [verse 41] And Moses said, Wherefore now do ye transgress the commandment of Jehovah, seeing it shall not prosper? [verse 42] Go not up, for Jehovah is not among you; that ye be not smitten down before your enemies. [verse 43] For there the Amalekite and the Canaanite are before you, and ye shall fall by the sword: because ye are turned back from following Jehovah, therefore Jehovah will not be with you. [verse 44] But they presumed to go up to the top of the mountain: nevertheless the ark of the covenant of Jehovah, and Moses, departed not out of the camp. [verse 45] Then the Amalekite came down, and the Canaanite who dwelt in that mountain, and smote them and beat them down, even unto Hormah."
277,Numbers 15:1-31,"[Numbers] [ch 15] [verse 1] And Jehovah spake unto Moses, saying, [verse 10] and thou shalt offer for the drink-offering half a hin of wine, for an offering made by fire, of a sweet savor unto Jehovah. [verse 11] Thus shall it be done for each bullock, or for each ram, or for each of the he-lambs, or of the kids. [verse 12] According to the number that ye shall prepare, so shall ye do to every one according to their number. [verse 13] All that are home-born shall do these things after this manner, in offering an offering made by fire, of a sweet savor unto Jehovah. [verse 14] And if a stranger sojourn with you, or whosoever may be among you throughout your generations, and will offer an offering made by fire, of a sweet savor unto Jehovah; as ye do, so he shall do. [verse 15] For the assembly, there shall be one statute for you, and for the stranger that sojourneth [with you], a statute for ever throughout your generations: as ye are, so shall the sojourner be before Jehovah. [verse 16] One law and one ordinance shall be for you, and for the stranger that sojourneth with you. [verse 17] And Jehovah spake unto Moses, saying, [verse 18] Speak unto the children of Israel, and say unto them, When ye come into the land whither I bring you, [verse 19] then it shall be, that, when ye eat of the bread of the land, ye shall offer up a heave-offering unto Jehovah. [verse 2] Speak unto the children of Israel, and say unto them, When ye are come into the land of your habitations, which I give unto you, [verse 20] Of the first of your dough ye shall offer up a cake for a heave-offering: as the heave-offering of the threshing-floor, so shall ye heave it. [verse 21] Of the first of your dough ye shall give unto Jehovah a heave-offering throughout your generations. [verse 22] And when ye shall err, and not observe all these commandments, which Jehovah hath spoken unto Moses, [verse 23] even all that Jehovah hath commanded you by Moses, from the day that Jehovah gave commandment, and onward throughout your generations; [verse 24] then it shall be, if it be done unwittingly, without the knowledge of the congregation, that all the congregation shall offer one young bullock for a burnt-offering, for a sweet savor unto Jehovah, with the meal-offering thereof, and the drink-offering thereof, according to the ordinance, and one he-goat for a sin-offering. [verse 25] And the priest shall make atonement for all the congregation of the children of Israel, and they shall be forgiven; for it was an error, and they have brought their oblation, an offering made by fire unto Jehovah, and their sin-offering before Jehovah, for their error: [verse 26] and all the congregation of the children of Israel shall be forgiven, and the stranger that sojourneth among them; for in respect of all the people it was done unwittingly. [verse 27] And if one person sin unwittingly, then he shall offer a she-goat a year old for a sin-offering. [verse 28] And the priest shall make atonement for the soul that erreth, when he sinneth unwittingly, before Jehovah, to make atonement for him; and he shall be forgiven. [verse 29] Ye shall have one law for him that doeth aught unwittingly, for him that is home-born among the children of Israel, and for the stranger that sojourneth among them. [verse 3] and will make an offering by fire unto Jehovah, a burnt-offering, or a sacrifice, to accomplish a vow, or as a freewill-offering, or in your set feasts, to make a sweet savor unto Jehovah, of the herd, or of the flock; [verse 30] But the soul that doeth aught with a high hand, whether he be home-born or a sojourner, the same blasphemeth Jehovah; and that soul shall be cut off from among his people. [verse 31] Because he hath despised the word of Jehovah, and hath broken his commandment, that soul shall utterly be cut off; his iniquity shall be upon him. [verse 4] then shall he that offereth his oblation offer unto Jehovah a meal-offering of a tenth part [of an ephah] of fine flour mingled with the fourth part of a hin of oil: [verse 5] and wine for the drink-offering, the fourth part of a hin, shalt thou prepare with the burnt-offering, or for the sacrifice, for each lamb. [verse 6] Or for a ram, thou shalt prepare for a meal-offering two tenth parts [of an ephah] of fine flour mingled with the third part of a hin of oil: [verse 7] and for the drink-offering thou shalt offer the third part of a hin of wine, of a sweet savor unto Jehovah. [verse 8] And when thou preparest a bullock for a burnt-offering, or for a sacrifice, to accomplish a vow, or for peace-offerings unto Jehovah; [verse 9] then shall he offer with the bullock a meal-offering of three tenth parts [of an ephah] of fine flour mingled with half a hin of oil:"
278,Numbers 15:32-36,"[Numbers] [ch 15] [verse 32] And while the children of Israel were in the wilderness, they found a man gathering sticks upon the sabbath day. [verse 33] And they that found him gathering sticks brought him unto Moses and Aaron, and unto all the congregation. [verse 34] And they put him in ward, because it had not been declared what should be done to him. [verse 35] And Jehovah said unto Moses, The man shall surely be put to death: all the congregation shall stone him with stones without the camp. [verse 36] And all the congregation brought him without the camp, and stoned him to death with stones; as Jehovah commanded Moses."
279,Numbers 15:37-41,"[Numbers] [ch 15] [verse 37] And Jehovah spake unto Moses, saying, [verse 38] Speak unto the children of Israel, and bid them that they make them fringes in the borders of their garments throughout their generations, and that they put upon the fringe of each border a cord of blue: [verse 39] and it shall be unto you for a fringe, that ye may look upon it, and remember all the commandments of Jehovah, and do them; and that ye follow not after your own heart and your own eyes, after which ye use to play the harlot; [verse 40] that ye may remember and do all my commandments, and be holy unto your God. [verse 41] I am Jehovah your God, who brought you out of the land of Egypt, to be your God: I am Jehovah your God."
280,Numbers 16:20-21,"[Numbers] [ch 16] [verse 20] And Jehovah spake unto Moses and unto Aaron, saying, [verse 21] Separate yourselves from among this congregation, that I may consume them in a moment."
281,Numbers 16:31-33,"[Numbers] [ch 16] [verse 31] And it came to pass, as he made an end of speaking all these words, that the ground clave asunder that was under them; [verse 32] and the earth opened its mouth, and swallowed them up, and their households, and all the men that appertained unto Korah, and all their goods. [verse 33] So they, and all that appertained to them, went down alive into Sheol: and the earth closed upon them, and they perished from among the assembly."
282,Numbers 16:31-33,"[Numbers] [ch 16] [verse 31] And it came to pass, as he made an end of speaking all these words, that the ground clave asunder that was under them; [verse 32] and the earth opened its mouth, and swallowed them up, and their households, and all the men that appertained unto Korah, and all their goods. [verse 33] So they, and all that appertained to them, went down alive into Sheol: and the earth closed upon them, and they perished from among the assembly."
283,Numbers 16:35,"[Numbers] [ch 16] [verse 35] And fire came forth from Jehovah, and devoured the two hundred and fifty men that offered the incense."
284,Numbers 16:36-40,"[Numbers] [ch 16] [verse 36] And Jehovah spake unto Moses, saying, [verse 37] Speak unto Eleazar the son of Aaron the priest, that he take up the censers out of the burning, and scatter thou the fire yonder; for they are holy, [verse 38] even the censers of these sinners against their own lives; and let them be made beaten plates for a covering of the altar: for they offered them before Jehovah; therefore they are holy; and they shall be a sign unto the children of Israel. [verse 39] And Eleazar the priest took the brazen censers, which they that were burnt had offered; and they beat them out for a covering of the altar, [verse 40] to be a memorial unto the children of Israel, to the end that no stranger, that is not of the seed of Aaron, come near to burn incense before Jehovah; that he be not as Korah, and as his company: as Jehovah spake unto him by Moses."
285,Numbers 16:42,"[Numbers] [ch 16] [verse 42] And it came to pass, when the congregation was assembled against Moses and against Aaron, that they looked toward the tent of meeting: and, behold, the cloud covered it, and the glory of Jehovah appeared."
286,Numbers 16:44-45,"[Numbers] [ch 16] [verse 44] And Jehovah spake unto Moses, saying, [verse 45] Get you up from among this congregation, that I may consume them in a moment. And they fell upon their faces."
287,Numbers 16:46-47,"[Numbers] [ch 16] [verse 46] And Moses said unto Aaron, Take thy censer, and put fire therein from off the altar, and lay incense thereon, and carry it quickly unto the congregation, and make atonement for them: for there is wrath gone out from Jehovah; the plague is begun. [verse 47] And Aaron took as Moses spake, and ran into the midst of the assembly; and, behold, the plague was begun among the people: and he put on the incense, and made atonement for the people."
288,Numbers 16:47-48,"[Numbers] [ch 16] [verse 47] And Aaron took as Moses spake, and ran into the midst of the assembly; and, behold, the plague was begun among the people: and he put on the incense, and made atonement for the people. [verse 48] And he stood between the dead and the living; and the plague was stayed."
289,Numbers 16:49,"[Numbers] [ch 16] [verse 49] Now they that died by the plague were fourteen thousand and seven hundred, besides them that died about the matter of Korah."
290,Numbers 17:1-9,"[Numbers] [ch 17] [verse 1] And Jehovah spake unto Moses, saying, [verse 2] Speak unto the children of Israel, and take of them rods, one for each fathers' house, of all their princes according to their fathers' houses, twelve rods: write thou every man's name upon his rod. [verse 3] And thou shalt write Aaron's name upon the rod of Levi; for there shall be one rod for each head of their fathers' houses. [verse 4] And thou shalt lay them up in the tent of meeting before the testimony, where I meet with you. [verse 5] And it shall come to pass, that the rod of the man whom I shall choose shall bud: and I will make to cease from me the murmurings of the children of Israel, which they murmur against you. [verse 6] And Moses spake unto the children of Israel; and all their princes gave him rods, for each prince one, according to their fathers' houses, even twelve rods: and the rod of Aaron was among their rods. [verse 7] And Moses laid up the rods before Jehovah in the tent of the testimony. [verse 8] And it came to pass on the morrow, that Moses went into the tent of the testimony; and, behold, the rod of Aaron for the house of Levi was budded, and put forth buds, and produced blossoms, and bare ripe almonds. [verse 9] And Moses brought out all the rods from before Jehovah unto all the children of Israel: and they looked, and took every man his rod."
291,Numbers 17:8,"[Numbers] [ch 17] [verse 8] And it came to pass on the morrow, that Moses went into the tent of the testimony; and, behold, the rod of Aaron for the house of Levi was budded, and put forth buds, and produced blossoms, and bare ripe almonds."
292,Numbers 17:10,"[Numbers] [ch 17] [verse 10] And Jehovah said unto Moses, Put back the rod of Aaron before the testimony, to be kept for a token against the children of rebellion; that thou mayest make an end of their murmurings against me, that they die not."
