Category,Events
Law,"183,184,185,207,208,209,210,211,212,213,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,240,245,246,247,248,277,293,294,322,325,328,333,334,355,378,379,380,381,382,383,384,386,387,388,389,391,394,395,397,398,399,401"
Lightning,182
Meeting,644
Memorial,"284,292,432"
Mercy,"32,192,239,274,281,288,317,442,479,603,682,686"
Movement,257
Music,669
Organization,242
Peace,"473,478,482,487,507,512,525,539,555"
Plague,"129,132,135,137,140,142,145,149,152,155,194,264,275,287,316,631,632,633"
Prayer,"71,72,133,138,146,150,259,269,299,543,544,572,618,657"
Presence,"182,196,205,206,237,255,261,499,532,534,635,671,674"
Priesthood,390
Promise,"38,40,41,48,122,169,170,172,186,236,237,239,260,336,339,353,361,363,364,366,368,373,375,392,396,407,421,423,428,469,476,481,517,532,534,549,571,598,690"
Prophecy,"16,49,50,51,53,73,101,102,104,261,262,313,314,352,353,392,409,411,414,416,490,552,569,614,621,623,641,642,643,649,677,688,689"
Protection,"22,26,30,39,163,341,342,393,424,425,442,606,673,676,680"
Providence,"101,102,425,426,487,601,604,605,608,611,612,685"
Provision,"19,65,66,69,168,170,172,173,177,250,263,296,365,405,431,437,480,582,588,602,603,607,685"
Recognition,"434,531,615,624,683"
Recording,329
Rejection,"661,665"
Relenting,"192,564"
Remedy,301
Remembrance,106
Reminder,529
Renewal,493
Repentance,636
Restoration,"270,407,433,591,602,615,639"
Revelation,"28,54,85,94,97,98,99,100,124,191,200,309,409,447,448,475,608,623,641,642,643,651,652,657,679"
Salvation,302
Selection,"651,666"
Sign,"26,35,109,110,111,112,113,119,120,126,250,291,454,543,544,551,646,655"
Signal,454
Signs,"119,120,646"
Skill,203
Speech,"2,3,4,5,6,7,8,9,10,12,14,15,16,17,18,20,23,24,25,26,29,33,34,35,37,40,41,43,44,45,46,47,48,49,50,51,52,53,54,60,64,65,67,68,70,73,74,75,76,85,86,87,90,91,92,93,103,108,114,115,116,118,122,123,124,125,127,128,130,131,134,136,139,141,143,144,147,148,151,153,154,158,161,162,166,169,170,172,174,175,176,179,180,181,182,183,184,185,186,188,189,195,197,198,200,201,204,207,208,209,210,211,212,213,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,241,242,243,244,245,246,247,248,249,250,251,252,253,254,256,260,265,267,269,271,273,274,278,279,280,281,284,290,292,301,305,306,308,310,312,319,320,321,322,323,324,325,326,328,329,330,331,332,333,334,420,422,427,429,432,435,436,443,447,451,468,471,474,475,494,496,500,516,528,531,532,533,535,536,539,540,545,547,550,551,563,569,570,571,573,574,594,596,622,636,640,641,642,643,644,650,652,654,658,659,664,678"
Spirit,"504,541,542,565,578,653,663"
Strategy,"159,440,452,545,546,547,548,594,596"
Strength,"508,513,580,581,583,584,585,587,589,592"
Test,"67,290,489,501,548,595,597"
Testimony,489
Theophany,"38,42,43,44,52,74,75,88,89,107,171,182,187,188,196,197,199,214,266,272,285,351,356,410,438,495,530,537,538,568,572,625"
Thunder,"182,637,655"
Timing,"298,604,609,627,628"
Transformation,"59,202,647,648"
Trumpet,"182,542"
Victory,"178,299,303,304,327,343,345,347,453,465,466,470,505,506,511,513,517,519,520,521,523,549,554,566,581,584,587,593,598,599,638,639,670,671,674,691"
Vision,"19,65,66,69,76,168,170,172,173,177,187,250,263,296,309,365,405,417,431,437,480,582,588,602,603,607,685"
Warfare,"303,304,326,327,330,364,368,395,396,460,461,469,492,505,511,516,518,521,522,523,553,566,637"
Warning,"60,127,130,136,139,143,147,153,182,238,273,280,281,286,352,359,360,367,374,490,679"
Water,"164,173,177,430,523,543,544,588"
Wind,"164,263"
Withdrawal,590
Worship,"377,385"
Writing,"401,412"
