folder_name,name,coordinates,LineString,Point,Polygon,description,styleUrl
Abel-meholah,Abel-meholah / Tell el Maqlub,"35.6823,32.40237",,,,,#landpoint
Abel-meholah,Abel-meholah / Tell el Hilu,"35.50465,32.32656",,,,,#landpoint
Abel-meholah,Abel-meholah / Ras el Kharube,"35.4933,32.1762",,,,,#landpoint
Abel-meholah,Abel-meholah / Tell el Hamme,"35.5994,32.4718",,,,,#landpoint
Abel-meholah,Abel-meholah / Tall al Meqbarah,"35.5905,32.4002",,,,,#landpoint
Abel-mizraim,Abel-mizraim / near the mouth of the Jordan River,"35.530445,31.914888",,,,,#landpoint
Abel-mizraim,Abel-mizraim / Deir Hajla,"35.501161,31.820379",,,,another name for Beth-hoglah,#landpoint
Abel-mizraim,Abel-mizraim / Ain Hajlah,"35.512222,31.828056",,,,another name for Beth-hoglah,#landpoint
Abel-mizraim,Abel-mizraim / Wadi al Arish,"34.154122,30.69379 34.148142,30.698494 34.147477,30.700917 34.148496,30.704775 34.144886,30.711701 34.139591,30.718638 34.132258,30.725344 34.129441,30.729932 34.131494,30.738243 34.123835,30.753658 34.127318,30.761043 34.13206,30.776941 34.150931,30.791682 34.153736,30.804912 34.152242,30.809607 34.153487,30.814638 34.152907,30.817678 34.14308,30.826781 34.129476,30.834022 34.124047,30.83487 34.118961,30.839531 34.108447,30.840102 34.104821,30.84375 34.107245,30.846569 34.106301,30.849553 34.098147,30.84959 34.096216,30.857032 34.088363,30.861232 34.087826,30.864805 34.085466,30.867126 34.082591,30.867844 34.079799,30.867022 34.078763,30.868448 34.074587,30.868665 34.073053,30.872046 34.068173,30.876526 34.067817,30.880666 34.06652,30.882105 34.053471,30.882336 34.041323,30.888451 34.032656,30.887983 34.030346,30.889401 34.030283,30.891821 34.029124,30.892889 34.026619,30.893477 34.025213,30.892482 34.026476,30.890794 34.026007,30.88848 34.018934,30.887306 34.014179,30.894965 33.999781,30.896291 33.998472,30.897028 33.996455,30.901704 33.984525,30.908645 33.979032,30.915678 33.972358,30.917058 33.955943,30.924127 33.943412,30.935484 33.941052,30.943637 33.934378,30.952378 33.932147,30.953243 33.925323,30.952857 33.916847,30.954734 33.913908,30.961193 33.901226,30.96973 33.897707,30.969546 33.890345,30.980861 33.872685,30.98448 33.872407,30.992073 33.862963,30.99884 33.862741,31.002324 33.865737,31.009537 33.864747,31.010787 33.86149,31.011334 33.857439,31.016213 33.855641,31.030012 33.852385,31.037401 33.849831,31.039042 33.843956,31.039566 33.842119,31.042111 33.832753,31.046977 33.830578,31.051397 33.835658,31.058628 33.836244,31.061954 33.831177,31.062947 33.827542,31.066373 33.821498,31.068593 33.81703,31.072108 33.813838,31.077564 33.813955,31.079974 33.816219,31.083457 33.81445,31.093227 33.815024,31.098838 33.813695,31.100489 33.806504,31.098214 33.803404,31.101694 33.803091,31.10378 33.80739,31.110349 33.808692,31.116963 33.811298,31.122505 33.813122,31.136879 33.806509,31.146249",,,,another name for the Brook of Egypt,#water
Abel-mizraim,Abel-mizraim / Wadi al Arish,"33.80649,31.145708",,,,another name for the Brook of Egypt,#waterrepresentativepoint
Abel-mizraim,Abel-mizraim / Nile River,"32.50641,15.64124 32.56511,16.15133 32.71356,16.38777 32.95192,16.55592 33.11583,16.52307 33.64297,16.83735 33.72145,16.98361 33.73357,17.29374 33.87965,17.42427 33.97344,17.6496 33.98393,18.00857 33.93325,18.25404 33.80148,18.31479 33.67353,18.49584 33.68565,18.69568 33.56111,18.73881 33.58701,19.1089 33.41389,19.27437 33.3283,19.52937 32.88425,19.45702 32.38153,18.92093 32.04448,18.82381 32.03232,18.61076 31.86211,18.55957 31.52533,18.08251 31.21433,17.98326 30.76226,18.15564 30.69645,18.48917 30.57768,18.59205 30.47161,18.87864 30.4935,19.24645 30.29591,19.93647 30.548,19.94806 30.58044,20.29215 30.38709,20.34491 30.34188,20.42713 30.28905,20.58492 30.32506,20.79066 30.53899,20.8389 30.58358,21.01854 30.69735,21.07635 30.65834,21.18687 30.98839,21.40132 30.95816,21.48728 31.17366,21.66365 31.43225,22.17585 32.1137,22.73589 32.20964,22.74464 32.29427,22.6215 32.38727,22.62304 32.94577,23.31672 32.87144,23.59294 32.92323,24.44909 32.86968,24.48453 32.93186,24.67286 32.88824,24.98288 32.56526,25.27726 32.46825,25.56172 32.76754,25.79133 32.76073,26.10578 32.63342,26.17901 32.27785,26.02442 32.12248,26.20443 32.02343,26.17474 31.99592,26.28987 31.80991,26.44018 31.80737,26.55024 31.70632,26.5437 31.70808,26.63279 31.52426,26.78297 31.30078,27.15568 31.12483,27.20777 30.84795,27.45684 30.89596,27.78379 30.82839,27.82289 30.86746,27.96484 30.74305,28.14557 30.73948,28.30098 30.84407,28.44511 30.92729,28.87826 31.22548,29.24542 31.29308,29.84911 31.21135,30.12366 30.82031,30.33869 30.8769,30.37565 30.76263,30.71801 30.81216,30.81963 30.76271,30.82173 30.76053,30.99229 30.52221,31.19948 30.51972,31.32732 30.37128,31.45895",,,,another name for the Brook of Egypt,#water
Abel-mizraim,Abel-mizraim / Nile River,"30.3667,31.4653",,,,another name for the Brook of Egypt,#waterrepresentativepoint
Abel-mizraim,Abel-mizraim / Pelusiac branch of the Nile,"31.26686,29.897558 31.592265,30.310486 31.576991,30.628665 31.82892,30.805284 32.562827,31.083443",,,,another name for the Brook of Egypt,#water
Abel-mizraim,Abel-mizraim / Pelusiac branch of the Nile,"32.546139,31.042512",,,,another name for the Brook of Egypt,#waterrepresentativepoint
Abel-mizraim,Abel-mizraim / Nahal HaBesor,"34.750294,30.899342 34.745579,30.904282 34.734178,30.897364 34.732597,30.903085 34.727275,30.903508 34.72513,30.908498 34.712371,30.910625 34.709101,30.917898 34.699696,30.920543 34.700175,30.92524 34.719098,30.925481 34.721348,30.92805 34.713049,30.932907 34.702378,30.934017 34.703782,30.942654 34.697058,30.947966 34.692638,30.95794 34.692393,30.977743 34.700101,30.99527 34.695243,31.002334 34.697016,31.013262 34.684998,31.024699 34.684276,31.03129 34.677801,31.035802 34.67976,31.046796 34.672929,31.050567 34.674193,31.057361 34.664126,31.058307 34.657624,31.064079 34.656445,31.075966 34.650444,31.083509 34.655002,31.091798 34.649161,31.096964 34.653318,31.106173 34.641474,31.118371 34.644988,31.126202 34.64338,31.13041 34.624651,31.137474 34.625853,31.148199 34.619569,31.152347 34.61943,31.162139 34.614665,31.163113 34.615745,31.172374 34.607828,31.180515 34.594255,31.182574 34.584747,31.190043 34.567967,31.191735 34.562679,31.196018 34.551649,31.198193 34.544846,31.208304 34.538034,31.210203 34.535037,31.217376 34.528822,31.216868 34.525129,31.222068 34.522669,31.220739 34.511737,31.225835 34.505731,31.23651 34.49328,31.243639 34.492674,31.249919 34.498064,31.2513 34.499305,31.25695 34.493047,31.260282 34.496895,31.262852 34.492806,31.271467 34.488773,31.270246 34.491392,31.278709 34.483495,31.281204 34.488712,31.28478 34.485256,31.287471 34.484525,31.295433 34.485555,31.3079 34.489775,31.308825 34.489731,31.316047 34.47897,31.332832 34.480062,31.342214 34.476114,31.346172 34.476285,31.351157 34.467874,31.355701 34.46657,31.363217 34.449176,31.388275 34.43622,31.39263 34.435686,31.403957 34.427532,31.412168 34.434077,31.418381 34.424978,31.419997 34.428295,31.424592 34.426277,31.428758 34.415484,31.432525 34.420034,31.435348 34.411269,31.450567 34.414059,31.456508 34.402402,31.459388 34.398119,31.466406 34.375285,31.463877",,,,another name for the Brook of Egypt,#water
Abel-mizraim,Abel-mizraim / Nahal HaBesor,"34.37568,31.46423",,,,another name for the Brook of Egypt,#waterrepresentativepoint
Abel-mizraim,Abel-mizraim / Tall al Ajjul,"34.4041,31.467",,,,,#landpoint
"Abel-shittim (Acacia Meadow, Abel Acacia Grove)",Abel-shittim / Tall el Hammam,"35.67368,31.84018",,,,another name for Shittim,#landpoint
"Abel-shittim (Acacia Meadow, Abel Acacia Grove)",Abel-shittim / Tall Kafrayn,"35.65296,31.85055",,,,another name for Shittim,#landpoint
"Abel-shittim (Acacia Meadow, Abel Acacia Grove)",Abel-shittim / Tell Matabi,"35.68404,31.84161",,,,another name for Shittim,#landpoint
"Abel-shittim (Acacia Meadow, Abel Acacia Grove)",Abel-shittim / Tall el Hammam,"35.67368,31.84018",,,,,#landpoint
"Abel-shittim (Acacia Meadow, Abel Acacia Grove)",Abel-shittim / Tall Kafrayn,"35.65296,31.85055",,,,,#landpoint
Abiezer (Abi-ezer),Abiezer / about 15 km around Afula,,,,,about 15 km around Ophrah 2,#region
Abiezer (Abi-ezer),Abiezer / about 15 km around Afula,"35.29,32.6057",,,,about 15 km around Ophrah 2,#landrepresentativepoint
Abiezer (Abi-ezer),Abiezer / about 15 km around Et Taiyibeh,,,,,about 15 km around Ophrah 2,#region
Abiezer (Abi-ezer),Abiezer / about 15 km around Et Taiyibeh,"35.44661,32.60385",,,,about 15 km around Ophrah 2,#landrepresentativepoint
Abiezer (Abi-ezer),Abiezer / about 15 km around Khirbet Taiyibeh,,,,,about 15 km around Ophrah 2,#region
Abiezer (Abi-ezer),Abiezer / about 15 km around Khirbet Taiyibeh,"35.17854,32.51718",,,,about 15 km around Ophrah 2,#landrepresentativepoint
Abiezer (Abi-ezer),Abiezer / about 15 km around Ramat Rahel,,,,,about 15 km around Ophrah 2,#region
Abiezer (Abi-ezer),Abiezer / about 15 km around Ramat Rahel,"35.216896,31.739901",,,,about 15 km around Ophrah 2,#landrepresentativepoint
Abiezer (Abi-ezer),Abiezer / about 15 km around Silat ad Dhahr,,,,,about 15 km around Ophrah 2,#region
Abiezer (Abi-ezer),Abiezer / about 15 km around Silat ad Dhahr,"35.184564,32.319492",,,,about 15 km around Ophrah 2,#landrepresentativepoint
Abiezer (Abi-ezer),Abiezer / about 15 km around Farata,,,,,about 15 km around Ophrah 2,#region
Abiezer (Abi-ezer),Abiezer / about 15 km around Farata,"35.165833,32.190556",,,,about 15 km around Ophrah 2,#landrepresentativepoint
Abiezer (Abi-ezer),Abiezer / about 15 km around Tell el Farah,,,,,about 15 km around Ophrah 2,#region
Abiezer (Abi-ezer),Abiezer / about 15 km around Tell el Farah,"35.3378,32.2874",,,,about 15 km around Ophrah 2,#landrepresentativepoint
Abila,Abila / Merj Ekkeh,"35.855908,31.905663",,,,,#landpoint
Abila Lysaniou,Abila Lysaniou / Souq Wadi Barada,"36.105833,33.626667",,,,,#landpoint
Abilene,Abilene (90% confidence),,,,,,#landisobands
Abilene,Abilene (80% confidence),,,,,,#landisobands
Abilene,Abilene (70% confidence),,,,,,#landisobands
Abilene,Abilene (60% confidence),,,,,,#landisobands
Abilene,Abilene (50% confidence),,,,,,#landisobands
Abilene,Abilene (40% confidence),,,,,,#landisobands
Abilene,Abilene (30% confidence),,,,,,#landisobands
Abilene,Abilene (20% confidence),,,,,,#landisobands
Abilene,Abilene (10% confidence),,,,,,#landisobands
Abilene,Abilene,"36.105833,33.626667",,,,,#landrepresentativepoint
Abronah (Ebronah),Abronah / Ein Evrona,"35.013917,29.672913",,,,,#landpoint
Abronah (Ebronah),Abronah / Aqaba,"34.999999,29.530676",,,,another name for Elath,#landpoint
Abronah (Ebronah),Abronah / Tell el Kheleifeh,"34.980258,29.547181",,,,another name for Elath,#landpoint
Abronah (Ebronah),Abronah / Eilat,"34.96352,29.57148",,,,another name for Elath,#landpoint
Abronah (Ebronah),Abronah / in Qa’an Naqb,,,,,,#region
Abronah (Ebronah),Abronah / in Qa’an Naqb,"34.84979,29.6131",,,,,#landrepresentativepoint
Abronah (Ebronah),Abronah / Eilat,"34.96352,29.57148",,,,,#landpoint
Accad (Akkad),Accad / Tell ed Der,"44.29833,33.09979",,,,,#landpoint
Accad (Akkad),Accad / Babylon,"44.422222,32.543333",,,,another name for Babylon 1,#landpoint
Accad (Akkad),Accad / Tell Sheshubar,"44.391944,33.025556",,,,,#landpoint
Accad (Akkad),Accad / Dhuluiya,"44.22484,34.03283",,,,,#landpoint
Accad (Akkad),Accad / Ishan Mizyad,"44.555928,32.591302",,,,,#landpoint
Accad (Akkad),Accad / Qadisiyah,"43.959646,34.095475",,,,,#landpoint
Accad (Akkad),Accad / Tell Muhammad,"44.468205,33.300568",,,,,#landpoint
"Acco (Akko, Accho)",Acco / Tel Akko,"35.088333,32.921111",,,,,#landpoint
Achaia,Achaia,,,,,,#region
Achaia,Achaia,"22.54,38.72",,,,,#landrepresentativepoint
"Achshaph (Akshaph, Acshaph)",Achshaph / Tell Keisan,"35.15133,32.872761",,,,,#landpoint
"Achshaph (Akshaph, Acshaph)",Achshaph / Tel Regev,"35.09027,32.75885",,,,,#landpoint
"Achshaph (Akshaph, Acshaph)",Achshaph / Tell Bir el Gharbi,"35.169444,32.901389",,,,,#landpoint
"Achshaph (Akshaph, Acshaph)",Achshaph / Tel Kabri,"35.1391,33.0084",,,,,#landpoint
"Achzib 1 (Akzib, Aczib)",Achzib 1 / Tel el Beida,"34.953019,31.642074",,,,,#landpoint
"Achzib 1 (Akzib, Aczib)",Achzib 1 / Ain Kezbeh,"35.003282,31.690129",,,,,#landpoint
"Achzib 2 (Akzib, Aczib)",Achzib 2 / Tel Achziv,"35.102652,33.048278",,,,,#landpoint
Adadah,Adadah / Khirbet Aro’er,"34.97907,31.15214",,,,,#landpoint
Adadah,Adadah / Khirbet Aro’er,"34.97907,31.15214",,,,another name for Aroer 3,#landpoint
Adadah,Adadah / Arair,"35.819389,31.4708",,,,another name for Aroer 3,#landpoint
Adadah,Adadah / Tel Esdar,"34.975175,31.169025",,,,another name for Aroer 3,#landpoint
Adadah,Adadah / Umm Sweiwineh,"35.925091,31.924568",,,,another name for Aroer 3,#landpoint
Adadah,Adadah / Khirbet Udena,"35.871319,31.97016",,,,another name for Aroer 3,#landpoint
Adadah,Adadah / Erjan,"35.920658,31.989281",,,,another name for Aroer 3,#landpoint
Adam,Adam / Tell ed Damiyeh,"35.546789,32.103933",,,,,#landpoint
Adamah,Adamah / Qarn Hattin,"35.459722,32.799722",,,,,#landpoint
Adamah,Adamah / Hajar ed Damm,"35.574903,32.94162",,,,,#landpoint
Adamah,Adamah / Tel Adami,"35.459167,32.749167",,,,,#landpoint
Adamah,Adamah / Khirbet esh Shiba,"35.4175,32.931111",,,,,#landpoint
Adami-nekeb (Nekeb),Adami-nekeb / Tel Adami,"35.459167,32.749167",,,,,#landpoint
Adami-nekeb (Nekeb),Adami-nekeb / Khirbet Bessum,"35.481228,32.734475",,,,,#landpoint
Adami-nekeb (Nekeb),Adami-nekeb / Khirbet Idma,"35.539398,32.634297",,,,,#landpoint
Adasa,Adasa / Khirbet Adasa,"35.16363,31.84881",,,,,#landpoint
Addar (Adar),Addar / within 10 km of Ain el Qudeirat,,,,,another name for Hazar-addar,#region
Addar (Adar),Addar / within 10 km of Ain el Qudeirat,"34.422222,30.648333",,,,another name for Hazar-addar,#landrepresentativepoint
Addar (Adar),Addar / Ein Qedeis,"34.484081,30.583378",,,,another name for Hazar-addar,#landpoint
Addar (Adar),Addar / Khirbet el Qudeirat,"34.422222,30.648333",,,,another name for Hazar-addar,#landpoint
Addar (Adar),Addar / Khirbet el Qaryatein,"35.124376,31.344952",,,,another name for Hazar-addar,#landpoint
Addar (Adar),Addar / within 10 km of Ein Qedeis,,,,,another name for Hazar-addar,#region
Addar (Adar),Addar / within 10 km of Ein Qedeis,"34.484081,30.583378",,,,another name for Hazar-addar,#landrepresentativepoint
Addar (Adar),Addar / Mesudat Ein Qedeis,"34.51416,30.59462",,,,another name for Hazar-addar,#landpoint
Addar (Adar),Addar / Har Avnon,"34.971389,30.974444",,,,another name for Hazar-addar,#landpoint
Addar (Adar),Addar / Ein Qedeis,"34.484081,30.583378",,,,,#landpoint
Addon / in Babylonia,Addon (90% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (80% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (70% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (60% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (50% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (40% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (30% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (20% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon (10% confidence),,,,,,#landisobands
Addon / in Babylonia,Addon / in Babylonia,"44.422222,32.543333",,,,,#landrepresentativepoint
Adithaim,Adithaim / Al Haditha,"34.951764,31.963319",,,,,#landpoint
Adithaim,Adithaim / Khirbet el Hadatha,"35.0146,31.87978",,,,,#landpoint
Adithaim,Adithaim / Khirbet Kheishum,"34.953544,31.728465",,,,,#landpoint
Adithaim,Adithaim / Khirbet Qeiyafa,"34.9575,31.6963",,,,,#landpoint
Admah,Admah / in the region south of the Lisan,,,,,in the Valley of Siddim,#region
Admah,Admah / in the region south of the Lisan,"35.449223,31.20849",,,,in the Valley of Siddim,#landrepresentativepoint
Admah,Admah / in the region north of the Dead Sea,,,,,,#region
Admah,Admah / in the region north of the Dead Sea,"35.595278,31.795",,,,,#landrepresentativepoint
Admah,Admah / Tell ed Damiyeh,"35.546789,32.103933",,,,another name for Adam,#landpoint
Admah,Admah / Khanazir,"35.437069,30.87767",,,,,#landpoint
Admah,Admah / Tall Nimrin,"35.624546,31.90094",,,,,#landpoint
Admah,Admah / Feifa,"35.458842,30.939606",,,,,#landpoint
Adoraim,Adoraim / Dura,"35.0275,31.50506",,,,,#landpoint
Adramyttium,Adramyttium / Oren,"26.932716,39.500667",,,,,#landpoint
"Adriatic Sea (Sea of Adria, Adria)",Adriatic Sea / Adriatic and Ionian Seas,,,,,,#water
"Adriatic Sea (Sea of Adria, Adria)",Adriatic Sea / Adriatic and Ionian Seas,"19,38",,,,,#waterrepresentativepoint
Adulis,Adulis,"39.660552,15.263061",,,,,#landpoint
Adullam,Adullam / Khirbet esh Sheikh Madhkur,"35.001667,31.651667",,,,,#landpoint
Adullam,Adullam / Khirbet Id el Minya,"35.003889,31.655",,,,,#landpoint
"Adummim (Pass of Adummim, Ascent of Adummim)",Adummim,"35.410118,31.838305 35.409441,31.837944 35.409001,31.837026 35.408394,31.836535 35.408068,31.83558 35.408524,31.834549 35.408036,31.833939 35.407678,31.833663 35.407397,31.83362 35.406464,31.834033 35.4062,31.834023 35.40597,31.833872 35.405242,31.832648 35.404197,31.831575 35.402708,31.831427 35.402155,31.830953 35.401126,31.830503 35.401059,31.830326 35.401607,31.829446 35.401699,31.828851 35.400423,31.827713 35.399529,31.827743 35.398504,31.827147 35.397278,31.826886 35.396819,31.826899 35.396039,31.827186 35.395612,31.827065 35.395344,31.82671 35.395134,31.825156 35.394663,31.824794 35.394541,31.824339 35.393103,31.82439 35.392168,31.823982 35.390959,31.824396 35.389332,31.825754 35.38755,31.82602 35.387,31.82631 35.385665,31.826301 35.384911,31.826205 35.384455,31.825615 35.384058,31.825498 35.383683,31.82511 35.38328,31.824954 35.382345,31.825221 35.381984,31.825203 35.380806,31.824722 35.379291,31.825209 35.379011,31.825182 35.378512,31.824403 35.377847,31.823892 35.377472,31.823775 35.376934,31.824 35.376357,31.824659 35.375759,31.824972 35.374994,31.8248 35.373954,31.82422 35.372535,31.824361 35.37143,31.824888 35.370931,31.825832 35.370563,31.826144 35.370273,31.826163 35.36981,31.825498 35.369465,31.825491 35.368833,31.82465 35.368309,31.824385 35.368252,31.822966 35.367672,31.82259 35.367456,31.8221 35.366844,31.821934 35.366302,31.821312 35.365297,31.820711 35.364869,31.820566 35.364111,31.820554 35.36346,31.820097 35.363389,31.819408 35.36328,31.819318 35.362632,31.819168 35.361676,31.819267 35.361033,31.81907 35.360468,31.819335 35.360041,31.819959 35.360078,31.820892 35.359246,31.8204 35.358722,31.820495 35.35819,31.821007 35.356726,31.820919 35.356344,31.820707 35.35613,31.820106 35.355775,31.819869 35.355423,31.818661 35.355056,31.818089 35.354664,31.81754 35.353974,31.81697 35.353522,31.817039 35.352545,31.816397 35.350171,31.815896 35.350177,31.815742 35.349677,31.815423 35.349396,31.815639 35.349106,31.815666 35.348961,31.815851 35.346215,31.814942",,,,,#path
"Adummim (Pass of Adummim, Ascent of Adummim)",Adummim,"35.361505,31.8175",,,,,#landrepresentativepoint
Aenon,Aenon / Umm el Umdan,"35.52821,32.38152",,,,,#landpoint
Aenon,Aenon / Khirbet Einun,"35.3974,32.30181",,,,,#landpoint
Aenon,Aenon,"35.549444,31.8375",,,,,#landpoint
Aenon,Aenon / Salim,"35.33033,32.20871",,,,,#landpoint
Aenon,Aenon / Khirbet Khishash ed Deir,"35.53353,32.38511",,,,,#landpoint
"Ahava (Ahava Canal, Ahava River)",Ahava / within 250 km of Babylon,,,,,within 250 km of Babylon 1,#water
"Ahava (Ahava Canal, Ahava River)",Ahava / within 250 km of Babylon,"44.422222,32.543333",,,,within 250 km of Babylon 1,#waterrepresentativepoint
"Ahava (Ahava Canal, Ahava River)",Ahava / Hit,"42.823141,33.643918",,,,,#landpoint
"Ahava (Ahava Canal, Ahava River)",Ahava / Opis,"44.6991,33.1815",,,,,#landpoint
"Ahava (Ahava Canal, Ahava River)",Ahava / Tell Ishnayt,"44.289872,33.775182",,,,,#landpoint
"Ahava (Ahava Canal, Ahava River)",Ahava / Mesčin,"44.244982,33.823671",,,,,#landpoint
Ahlab,Ahlab / Khirbet al Mahalib,"35.243368,33.317804",,,,,#landpoint
Ahlab,Ahlab / Ras el Biyada,"35.168333,33.164722",,,,,#landpoint
Ai 1,Ai 1 / Et Tell,"35.261111,31.916944",,,,,#landpoint
Ai 1,Ai 1 / Khirbet el Maqatir,"35.2496,31.91476",,,,,#landpoint
Ai 1,Ai 1 / Khirbet Nisieh,"35.228619,31.897515",,,,,#landpoint
Ai 1,Ai 1 / Khirbet Haiyan,"35.270379,31.905169",,,,,#landpoint
Ai 1,Ai 1 / Khirbet Ibn Baraq,"35.2464,31.9125",,,,,#landpoint
Ai 2 / in Moab 1,Ai 2 (90% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (80% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (70% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (60% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (50% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (40% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (30% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (20% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 (10% confidence),,,,,,#landisobands
Ai 2 / in Moab 1,Ai 2 / in Moab 1,"35.701389,31.180556",,,,,#landrepresentativepoint
Ai 2,Ai 2 / Khirbet Ai,"35.640041,31.13422",,,,,#landpoint
Ai 2,Ai 2 / Medeineh,"35.77948,30.955999",,,,,#landpoint
Ai 2,Ai 2 / Et Tell,"35.261111,31.916944",,,,another name for Ai 1,#landpoint
Ai 2,Ai 2 / Khirbet el Maqatir,"35.2496,31.91476",,,,another name for Ai 1,#landpoint
Ai 2,Ai 2 / Khirbet Nisieh,"35.228619,31.897515",,,,another name for Ai 1,#landpoint
Ai 2,Ai 2 / Khirbet Ibn Baraq,"35.2464,31.9125",,,,another name for Ai 1,#landpoint
Ai 2,Ai 2 / Khirbet Haiyan,"35.270379,31.905169",,,,another name for Ai 1,#landpoint
Ai 3,Ai 3 / Et Tell,"35.261111,31.916944",,,,another name for Ai 1,#landpoint
Ai 3,Ai 3 / Khirbet el Maqatir,"35.2496,31.91476",,,,another name for Ai 1,#landpoint
Ai 3,Ai 3 / Khirbet Nisieh,"35.228619,31.897515",,,,another name for Ai 1,#landpoint
Ai 3,Ai 3 / Khirbet Ibn Baraq,"35.2464,31.9125",,,,another name for Ai 1,#landpoint
Ai 3,Ai 3 / Khirbet Haiyan,"35.270379,31.905169",,,,another name for Ai 1,#landpoint
Ai 3,Ai 3 / Khirbet Haiyan,"35.270379,31.905169",,,,,#landpoint
Aiath,Aiath / Et Tell,"35.261111,31.916944",,,,another name for Ai 1,#landpoint
Aiath,Aiath / Khirbet el Maqatir,"35.2496,31.91476",,,,another name for Ai 1,#landpoint
Aiath,Aiath / Khirbet Nisieh,"35.228619,31.897515",,,,another name for Ai 1,#landpoint
Aiath,Aiath / Khirbet Ibn Baraq,"35.2464,31.9125",,,,another name for Ai 1,#landpoint
